=============Wed Jul 29 2020 15:43:04 GMT+1000 (Australian Eastern Standard Time)=============
QDEL,364.10,22.14
NEE,414.44,24.36
ANET,356.98,24.45
ICE,141.41,26.09
HAS,111.00,26.54
BAM,53.15,27.65
GMED,80.33,31.07
WD,83.51,32.08
AAPL,639.64,33.51
MTCH,170.57,34.15
CHDN,228.11,36.98
ZNGA,17.44,37.82
MA,563.59,37.88
MA,563.59,37.88
COUP,550.40,38.88
EA,271.04,43.41
MSFT,411.24,44.17
KNSL,335.40,44.31
CGNX,132.61,44.66
DPZ,794.47,44.94
LULU,679.74,46.30
NVDA,882.62,47.85
PYPL,384.08,48.39
FB,513.41,49.86
MKTX,1211.52,53.81
PAYC,712.25,56.52
GLOB,425.35,58.57
ATVI,216.20,61.22
TEAM,508.95,63.43
ASML,1073.66,65.13
TTD,1318.21,71.15
NOW,1477.94,75.99
STAA,207.17,81.14
STAA,207.17,81.14
AMZN,11564.00,83.83
DOCU,765.00,84.38
NFLX,2198.04,93.45
AMD,327.13,97.96
ZM,1284.89,101.17
ETSY,581.33,107.86
NTES,3767.35,131.99
JD,570.05,138.36
NVCR,708.92,146.02
SHOP,22838.69,195.32
TSLA,5505189.64,510.97
=============Thu Jul 30 2020 21:44:01 GMT+1000 (Australian Eastern Standard Time)=============
SCHW,26.33,-15.26
DIS,116.31,0.07
MMM,174.12,7.10
SBUX,88.50,10.59
GOOG,2044.84,19.24
EPR,44.64,20.59
ZTS,207.27,21.78
QDEL,364.10,22.14
NEE,414.44,24.36
ANET,356.98,24.45
ICE,141.41,26.09
HAS,111.00,26.54
BAM,53.15,27.65
GMED,80.33,31.07
WD,83.51,32.08
AAPL,639.64,33.51
MTCH,170.57,34.15
CHDN,228.11,36.98
ZNGA,17.44,37.82
MA,563.59,37.88
MA,563.59,37.88
COUP,550.40,38.88
EA,271.04,43.41
MSFT,411.24,44.17
KNSL,335.40,44.31
CGNX,132.61,44.66
DPZ,794.47,44.94
LULU,679.74,46.30
NVDA,882.62,47.85
PYPL,384.08,48.39
FB,513.41,49.86
MKTX,1211.52,53.81
PAYC,712.25,56.52
GLOB,425.35,58.57
ATVI,216.20,61.22
TEAM,508.95,63.43
ASML,1073.66,65.13
TTD,1318.21,71.15
NOW,1477.94,75.99
STAA,207.17,81.14
STAA,207.17,81.14
AMZN,11564.00,83.83
DOCU,765.00,84.38
NFLX,2198.04,93.45
AMD,327.13,97.96
ZM,1284.89,101.17
ETSY,581.33,107.86
NTES,3767.35,131.99
JD,570.05,138.36
NVCR,708.92,146.02
SHOP,22838.69,195.32
TSLA,5505189.64,510.97
=============Thu Jul 30 2020 21:50:18 GMT+1000 (Australian Eastern Standard Time)=============
SCHW,26.33,-15.26,15.570925055729159
DIS,116.31,0.07,67.84364117709447
MMM,174.12,7.10,101.12708131822069
SBUX,88.50,10.59,51.56055993451864
GOOG,2044.84,19.24,1185.914274391849
EPR,44.64,20.59,25.85209778245926
ZTS,207.27,21.78,120.25623089843866
QDEL,364.10,22.14,210.88255877378532
NEE,414.44,24.36,239.63552298421587
ANET,356.98,24.45,206.41969976743363
ICE,141.41,26.09,81.37042179953089
HAS,111.00,26.54,63.964820529732094
BAM,53.15,27.65,30.681084692688895
GMED,80.33,31.07,46.57715511168139
WD,83.51,32.08,47.38194114500001
AAPL,639.64,33.51,368.9561054425375
MTCH,170.57,34.15,98.788460777503
CHDN,228.11,36.98,132.56567259328517
ZNGA,17.44,37.82,10.05963137626648
MA,563.59,37.88,326.0702664081423
MA,563.59,37.88,326.0702664081423
COUP,550.40,38.88,320.89616006601005
EA,271.04,43.41,155.5917663806175
MSFT,411.24,44.17,236.64416519789054
KNSL,335.40,44.31,194.2016562674999
CGNX,132.61,44.66,77.0616040974609
DPZ,794.47,44.94,456.9230581918094
LULU,679.74,46.30,394.2145666163536
NVDA,882.62,47.85,510.07212785269974
PYPL,384.08,48.39,222.21660242856328
FB,513.41,49.86,295.12513690865916
MKTX,1211.52,53.81,701.5960005785909
PAYC,712.25,56.52,412.87767240518275
GLOB,425.35,58.57,246.4971288451826
ATVI,216.20,61.22,123.7582326105277
TEAM,508.95,63.43,295.8944701887983
ASML,1073.66,65.13,619.1100225140366
TTD,1318.21,71.15,766.1687418619792
NOW,1477.94,75.99,857.0846196029587
STAA,207.17,81.14,120.75084589750004
STAA,207.17,81.14,120.75084589750004
AMZN,11564.00,83.83,6717.995920049338
DOCU,765.00,84.38,445.52777046642075
NFLX,2198.04,93.45,1270.7179341314256
AMD,327.13,97.96,188.95976198595713
ZM,1284.89,101.17,746.7094780070456
ETSY,581.33,107.86,336.7837814283225
NTES,3767.35,131.99,2195.990859848408
JD,570.05,138.36,332.3378850441196
NVCR,708.92,146.02,413.07090048000003
SHOP,22838.69,195.32,13312.396235608026
TSLA,5505189.64,510.97,3193012.216042051
=============Thu Jul 30 2020 21:52:07 GMT+1000 (Australian Eastern Standard Time)=============
SCHW,26.33,-15.26,11.356352477604162
DIS,116.31,0.07,64.68417983107824
MMM,174.12,7.10,80.8983652135937
SBUX,88.50,10.59,49.089758436788856
GOOG,2044.84,19.24,1072.4637421911157
EPR,44.64,20.59,23.136258648409253
ZTS,207.27,21.78,110.9702524853067
QDEL,364.10,22.14,189.9417828476703
NEE,414.44,24.36,213.6677405045133
ANET,356.98,24.45,182.70558568159424
ICE,141.41,26.09,68.59179547102752
HAS,111.00,26.54,54.59217944637017
BAM,53.15,27.65,27.243880386644253
GMED,80.33,31.07,43.9220423176306
WD,83.51,32.08,34.070392895000005
